date_key,day_id,date,year,quarter,month,month_name,year_month,day_of_month,wday,weekday_name,is_weekend,wm_yr_wk,weekday,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI
20110129,d_1,2011-01-29,2011,1,1,January,2011-01,29,1,Saturday,1,11101,Saturday,,,,,0,0,0
20110130,d_2,2011-01-30,2011,1,1,January,2011-01,30,2,Sunday,1,11101,Sunday,,,,,0,0,0
20110131,d_3,2011-01-31,2011,1,1,January,2011-01,31,3,Monday,0,11101,Monday,,,,,0,0,0
20110201,d_4,2011-02-01,2011,1,2,February,2011-02,1,4,Tuesday,0,11101,Tuesday,,,,,1,1,0
20110202,d_5,2011-02-02,2011,1,2,February,2011-02,2,5,Wednesday,0,11101,Wednesday,,,,,1,0,1
20110203,d_6,2011-02-03,2011,1,2,February,2011-02,3,6,Thursday,0,11101,Thursday,,,,,1,1,1
20110204,d_7,2011-02-04,2011,1,2,February,2011-02,4,7,Friday,0,11101,Friday,,,,,1,0,0
20110205,d_8,2011-02-05,2011,1,2,February,2011-02,5,1,Saturday,1,11102,Saturday,,,,,1,1,1
20110206,d_9,2011-02-06,2011,1,2,February,2011-02,6,2,Sunday,1,11102,Sunday,SuperBowl,Sporting,,,1,1,1
20110207,d_10,2011-02-07,2011,1,2,February,2011-02,7,3,Monday,0,11102,Monday,,,,,1,1,0
20110208,d_11,2011-02-08,2011,1,2,February,2011-02,8,4,Tuesday,0,11102,Tuesday,,,,,1,0,1
20110209,d_12,2011-02-09,2011,1,2,February,2011-02,9,5,Wednesday,0,11102,Wednesday,,,,,1,1,1
20110210,d_13,2011-02-10,2011,1,2,February,2011-02,10,6,Thursday,0,11102,Thursday,,,,,1,0,0
20110211,d_14,2011-02-11,2011,1,2,February,2011-02,11,7,Friday,0,11102,Friday,,,,,0,1,1
20110212,d_15,2011-02-12,2011,1,2,February,2011-02,12,1,Saturday,1,11103,Saturday,,,,,0,1,1
20110213,d_16,2011-02-13,2011,1,2,February,2011-02,13,2,Sunday,1,11103,Sunday,,,,,0,1,0
20110214,d_17,2011-02-14,2011,1,2,February,2011-02,14,3,Monday,0,11103,Monday,ValentinesDay,Cultural,,,0,0,1
20110215,d_18,2011-02-15,2011,1,2,February,2011-02,15,4,Tuesday,0,11103,Tuesday,,,,,0,1,1
20110216,d_19,2011-02-16,2011,1,2,February,2011-02,16,5,Wednesday,0,11103,Wednesday,,,,,0,0,0
20110217,d_20,2011-02-17,2011,1,2,February,2011-02,17,6,Thursday,0,11103,Thursday,,,,,0,0,0
20110218,d_21,2011-02-18,2011,1,2,February,2011-02,18,7,Friday,0,11103,Friday,,,,,0,0,0
20110219,d_22,2011-02-19,2011,1,2,February,2011-02,19,1,Saturday,1,11104,Saturday,,,,,0,0,0
20110220,d_23,2011-02-20,2011,1,2,February,2011-02,20,2,Sunday,1,11104,Sunday,,,,,0,0,0
20110221,d_24,2011-02-21,2011,1,2,February,2011-02,21,3,Monday,0,11104,Monday,PresidentsDay,National,,,0,0,0
20110222,d_25,2011-02-22,2011,1,2,February,2011-02,22,4,Tuesday,0,11104,Tuesday,,,,,0,0,0
20110223,d_26,2011-02-23,2011,1,2,February,2011-02,23,5,Wednesday,0,11104,Wednesday,,,,,0,0,0
20110224,d_27,2011-02-24,2011,1,2,February,2011-02,24,6,Thursday,0,11104,Thursday,,,,,0,0,0
20110225,d_28,2011-02-25,2011,1,2,February,2011-02,25,7,Friday,0,11104,Friday,,,,,0,0,0
20110226,d_29,2011-02-26,2011,1,2,February,2011-02,26,1,Saturday,1,11105,Saturday,,,,,0,0,0
20110227,d_30,2011-02-27,2011,1,2,February,2011-02,27,2,Sunday,1,11105,Sunday,,,,,0,0,0
20110228,d_31,2011-02-28,2011,1,2,February,2011-02,28,3,Monday,0,11105,Monday,,,,,0,0,0
20110301,d_32,2011-03-01,2011,1,3,March,2011-03,1,4,Tuesday,0,11105,Tuesday,,,,,1,1,0
20110302,d_33,2011-03-02,2011,1,3,March,2011-03,2,5,Wednesday,0,11105,Wednesday,,,,,1,0,1
20110303,d_34,2011-03-03,2011,1,3,March,2011-03,3,6,Thursday,0,11105,Thursday,,,,,1,1,1
20110304,d_35,2011-03-04,2011,1,3,March,2011-03,4,7,Friday,0,11105,Friday,,,,,1,0,0
20110305,d_36,2011-03-05,2011,1,3,March,2011-03,5,1,Saturday,1,11106,Saturday,,,,,1,1,1
20110306,d_37,2011-03-06,2011,1,3,March,2011-03,6,2,Sunday,1,11106,Sunday,,,,,1,1,1
20110307,d_38,2011-03-07,2011,1,3,March,2011-03,7,3,Monday,0,11106,Monday,,,,,1,1,0
20110308,d_39,2011-03-08,2011,1,3,March,2011-03,8,4,Tuesday,0,11106,Tuesday,,,,,1,0,1
20110309,d_40,2011-03-09,2011,1,3,March,2011-03,9,5,Wednesday,0,11106,Wednesday,LentStart,Religious,,,1,1,1
20110310,d_41,2011-03-10,2011,1,3,March,2011-03,10,6,Thursday,0,11106,Thursday,,,,,1,0,0
20110311,d_42,2011-03-11,2011,1,3,March,2011-03,11,7,Friday,0,11106,Friday,,,,,0,1,1
20110312,d_43,2011-03-12,2011,1,3,March,2011-03,12,1,Saturday,1,11107,Saturday,,,,,0,1,1
20110313,d_44,2011-03-13,2011,1,3,March,2011-03,13,2,Sunday,1,11107,Sunday,,,,,0,1,0
20110314,d_45,2011-03-14,2011,1,3,March,2011-03,14,3,Monday,0,11107,Monday,,,,,0,0,1
20110315,d_46,2011-03-15,2011,1,3,March,2011-03,15,4,Tuesday,0,11107,Tuesday,,,,,0,1,1
20110316,d_47,2011-03-16,2011,1,3,March,2011-03,16,5,Wednesday,0,11107,Wednesday,LentWeek2,Religious,,,0,0,0
20110317,d_48,2011-03-17,2011,1,3,March,2011-03,17,6,Thursday,0,11107,Thursday,StPatricksDay,Cultural,,,0,0,0
20110318,d_49,2011-03-18,2011,1,3,March,2011-03,18,7,Friday,0,11107,Friday,,,,,0,0,0
20110319,d_50,2011-03-19,2011,1,3,March,2011-03,19,1,Saturday,1,11108,Saturday,,,,,0,0,0
20110320,d_51,2011-03-20,2011,1,3,March,2011-03,20,2,Sunday,1,11108,Sunday,Purim End,Religious,,,0,0,0
20110321,d_52,2011-03-21,2011,1,3,March,2011-03,21,3,Monday,0,11108,Monday,,,,,0,0,0
20110322,d_53,2011-03-22,2011,1,3,March,2011-03,22,4,Tuesday,0,11108,Tuesday,,,,,0,0,0
20110323,d_54,2011-03-23,2011,1,3,March,2011-03,23,5,Wednesday,0,11108,Wednesday,,,,,0,0,0
20110324,d_55,2011-03-24,2011,1,3,March,2011-03,24,6,Thursday,0,11108,Thursday,,,,,0,0,0
20110325,d_56,2011-03-25,2011,1,3,March,2011-03,25,7,Friday,0,11108,Friday,,,,,0,0,0
20110326,d_57,2011-03-26,2011,1,3,March,2011-03,26,1,Saturday,1,11109,Saturday,,,,,0,0,0
20110327,d_58,2011-03-27,2011,1,3,March,2011-03,27,2,Sunday,1,11109,Sunday,,,,,0,0,0
20110328,d_59,2011-03-28,2011,1,3,March,2011-03,28,3,Monday,0,11109,Monday,,,,,0,0,0
20110329,d_60,2011-03-29,2011,1,3,March,2011-03,29,4,Tuesday,0,11109,Tuesday,,,,,0,0,0
20110330,d_61,2011-03-30,2011,1,3,March,2011-03,30,5,Wednesday,0,11109,Wednesday,,,,,0,0,0
20110331,d_62,2011-03-31,2011,1,3,March,2011-03,31,6,Thursday,0,11109,Thursday,,,,,0,0,0
20110401,d_63,2011-04-01,2011,2,4,April,2011-04,1,7,Friday,0,11109,Friday,,,,,1,1,0
20110402,d_64,2011-04-02,2011,2,4,April,2011-04,2,1,Saturday,1,11110,Saturday,,,,,1,0,1
20110403,d_65,2011-04-03,2011,2,4,April,2011-04,3,2,Sunday,1,11110,Sunday,,,,,1,1,1
20110404,d_66,2011-04-04,2011,2,4,April,2011-04,4,3,Monday,0,11110,Monday,,,,,1,0,0
20110405,d_67,2011-04-05,2011,2,4,April,2011-04,5,4,Tuesday,0,11110,Tuesday,,,,,1,1,1
20110406,d_68,2011-04-06,2011,2,4,April,2011-04,6,5,Wednesday,0,11110,Wednesday,,,,,1,1,1
20110407,d_69,2011-04-07,2011,2,4,April,2011-04,7,6,Thursday,0,11110,Thursday,,,,,1,1,0
20110408,d_70,2011-04-08,2011,2,4,April,2011-04,8,7,Friday,0,11110,Friday,,,,,1,0,1
20110409,d_71,2011-04-09,2011,2,4,April,2011-04,9,1,Saturday,1,11111,Saturday,,,,,1,1,1
20110410,d_72,2011-04-10,2011,2,4,April,2011-04,10,2,Sunday,1,11111,Sunday,,,,,1,0,0
20110411,d_73,2011-04-11,2011,2,4,April,2011-04,11,3,Monday,0,11111,Monday,,,,,0,1,1
20110412,d_74,2011-04-12,2011,2,4,April,2011-04,12,4,Tuesday,0,11111,Tuesday,,,,,0,1,1
20110413,d_75,2011-04-13,2011,2,4,April,2011-04,13,5,Wednesday,0,11111,Wednesday,,,,,0,1,0
20110414,d_76,2011-04-14,2011,2,4,April,2011-04,14,6,Thursday,0,11111,Thursday,,,,,0,0,1
20110415,d_77,2011-04-15,2011,2,4,April,2011-04,15,7,Friday,0,11111,Friday,,,,,0,1,1
20110416,d_78,2011-04-16,2011,2,4,April,2011-04,16,1,Saturday,1,11112,Saturday,,,,,0,0,0
20110417,d_79,2011-04-17,2011,2,4,April,2011-04,17,2,Sunday,1,11112,Sunday,,,,,0,0,0
20110418,d_80,2011-04-18,2011,2,4,April,2011-04,18,3,Monday,0,11112,Monday,,,,,0,0,0
20110419,d_81,2011-04-19,2011,2,4,April,2011-04,19,4,Tuesday,0,11112,Tuesday,,,,,0,0,0
20110420,d_82,2011-04-20,2011,2,4,April,2011-04,20,5,Wednesday,0,11112,Wednesday,,,,,0,0,0
20110421,d_83,2011-04-21,2011,2,4,April,2011-04,21,6,Thursday,0,11112,Thursday,,,,,0,0,0
20110422,d_84,2011-04-22,2011,2,4,April,2011-04,22,7,Friday,0,11112,Friday,,,,,0,0,0
20110423,d_85,2011-04-23,2011,2,4,April,2011-04,23,1,Saturday,1,11113,Saturday,,,,,0,0,0
20110424,d_86,2011-04-24,2011,2,4,April,2011-04,24,2,Sunday,1,11113,Sunday,OrthodoxEaster,Religious,Easter,Cultural,0,0,0
20110425,d_87,2011-04-25,2011,2,4,April,2011-04,25,3,Monday,0,11113,Monday,,,,,0,0,0
20110426,d_88,2011-04-26,2011,2,4,April,2011-04,26,4,Tuesday,0,11113,Tuesday,Pesach End,Religious,,,0,0,0
