store_id,item_id,actual_demand_units,holdout_start_date,holdout_end_date,holdout_days
CA_1,FOODS_3_001,5.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_002,37.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_003,15.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_004,24.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_005,16.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_006,11.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_007,52.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_008,50.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_009,10.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_010,18.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_011,41.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_012,56.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_013,94.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_014,31.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_015,41.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_016,94.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_017,3.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_018,52.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_019,71.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_020,284.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_021,41.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_022,10.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_023,50.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_024,0.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_025,41.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_026,58.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_027,15.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_028,38.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_029,26.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_030,205.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_031,29.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_032,27.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_033,10.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_034,69.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_035,28.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_036,19.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_037,197.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_038,25.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_039,173.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_040,25.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_041,139.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_042,87.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_043,46.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_044,14.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_045,7.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_046,40.0,2016-04-25,2016-05-22,28
CA_1,FOODS_3_047,29.0,2016-04-25,2016-05-22,28
