scenario_id,allocation_method_id,model_id,policy_id,store_id,item_id,forecast_total_units,uncertainty_std_28,target_order_quantity,unit_purchase_cost,allocated_order_quantity,served_units,shortage_units,leftover_units,stockout_occurred,holding_cost_units,shortage_cost_units,operational_cost_units,purchase_spend,budget_limit,capacity_limit,target_coverage_percent
tight,milp_optimised,hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_001,15.0125,9.973,25,1.5,10,5.0,0.0,5.0,0,5.0,0.0,5.0,15.0,3392.37912,2749,40.0
tight,milp_optimised,hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_002,33.0824,33.4861,66,1.5288,26,26.0,11.0,0.0,1,0.0,55.0,55.0,39.7488,3392.37912,2749,39.39393939393939
tight,milp_optimised,hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_003,22.6687,16.7706,39,2.184,15,15.0,0.0,0.0,0,0.0,0.0,0.0,32.76,3392.37912,2749,38.46153846153847
tight,milp_optimised,hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_004,26.5785,7.0569,34,3.588,13,13.0,11.0,0.0,1,0.0,55.0,55.0,46.644,3392.37912,2749,38.23529411764706
tight,milp_optimised,hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_005,14.7079,5.6627,21,1.368,8,8.0,8.0,0.0,1,0.0,40.0,40.0,10.944,3392.37912,2749,38.095238095238095
tight,milp_optimised,hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_006,13.4888,4.9844,19,4.728,7,7.0,4.0,0.0,1,0.0,20.0,20.0,33.096,3392.37912,2749,36.84210526315789
tight,milp_optimised,hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_007,151.4111,68.4641,218,0.15,218,52.0,0.0,166.0,0,166.0,0.0,166.0,32.7,3392.37912,2749,100.0
tight,milp_optimised,hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_008,37.6984,101.1057,136,0.444,136,50.0,0.0,86.0,0,86.0,0.0,86.0,60.384,3392.37912,2749,100.0
tight,milp_optimised,hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_009,14.8417,7.5833,23,1.368,9,9.0,1.0,0.0,1,0.0,5.0,5.0,12.312,3392.37912,2749,39.130434782608695
tight,milp_optimised,hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_010,24.1869,5.801,30,1.704,12,12.0,6.0,0.0,1,0.0,30.0,30.0,20.448,3392.37912,2749,40.0
tight,milp_optimised,hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_011,77.5664,24.3011,102,1.188,40,40.0,1.0,0.0,1,0.0,5.0,5.0,47.52,3392.37912,2749,39.21568627450981
tight,milp_optimised,hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_012,60.672,18.0803,79,1.608,31,31.0,25.0,0.0,1,0.0,125.0,125.0,49.848000000000006,3392.37912,2749,39.24050632911392
tight,milp_optimised,hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_013,78.9084,30.4405,109,1.548,75,75.0,19.0,0.0,1,0.0,95.0,95.0,116.1,3392.37912,2749,68.80733944954129
tight,milp_optimised,hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_014,24.1603,13.0318,37,1.188,14,14.0,17.0,0.0,1,0.0,85.0,85.0,16.631999999999998,3392.37912,2749,37.83783783783784
tight,milp_optimised,hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_015,49.3666,41.5996,90,1.068,36,36.0,5.0,0.0,1,0.0,25.0,25.0,38.448,3392.37912,2749,40.0
tight,milp_optimised,hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_016,73.5464,25.3541,99,1.788,39,39.0,55.0,0.0,1,0.0,275.0,275.0,69.732,3392.37912,2749,39.39393939393939
tight,milp_optimised,hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_017,4.6592,2.4302,8,1.188,3,3.0,0.0,0.0,0,0.0,0.0,0.0,3.564,3392.37912,2749,37.5
tight,milp_optimised,hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_018,39.9882,15.9651,56,2.724,22,22.0,30.0,0.0,1,0.0,150.0,150.0,59.928,3392.37912,2749,39.285714285714285
