model,store_id,item_id,validation_actual_units,validation_forecast_units,mae,rmse,bias,wape_percent,training_days,total_training_demand,mean_daily_demand,demand_standard_deviation,zero_sales_days,zero_sales_percentage,coefficient_of_variation,demand_pattern
last_value_naive,CA_1,FOODS_3_001,5.0,28.0,0.8929,0.9449,0.8214,500.0,1913,866,0.4527,0.8904,1364,71.3016,1.967,intermittent
last_value_naive,CA_1,FOODS_3_002,37.0,0.0,1.3214,2.1297,-1.3214,100.0,1913,2088,1.0915,1.9083,1222,63.8787,1.7484,intermittent
last_value_naive,CA_1,FOODS_3_003,15.0,0.0,0.5357,0.9449,-0.5357,100.0,1913,355,0.1856,0.6318,1716,89.702,3.4044,highly_intermittent
last_value_naive,CA_1,FOODS_3_004,24.0,28.0,0.7857,1.1339,0.1429,91.6667,1913,984,0.5144,1.0736,1399,73.1312,2.0872,intermittent
last_value_naive,CA_1,FOODS_3_005,16.0,0.0,0.5714,1.0,-0.5714,100.0,1913,1439,0.7522,0.9975,1003,52.4307,1.3261,intermittent
last_value_naive,CA_1,FOODS_3_006,11.0,28.0,0.75,0.866,0.6071,190.9091,1913,320,0.1673,0.4789,1664,86.9838,2.8628,highly_intermittent
last_value_naive,CA_1,FOODS_3_007,52.0,84.0,2.5,2.7124,1.1429,134.6154,1913,10801,5.6461,7.9243,635,33.1939,1.4035,mixed
last_value_naive,CA_1,FOODS_3_008,50.0,0.0,1.7857,3.6154,-1.7857,100.0,1913,2324,1.2148,3.696,1498,78.3063,3.0424,intermittent
last_value_naive,CA_1,FOODS_3_009,10.0,28.0,0.7143,0.8452,0.6429,200.0,1913,361,0.1887,0.6011,1688,88.2384,3.1854,highly_intermittent
last_value_naive,CA_1,FOODS_3_010,18.0,28.0,0.8571,0.9636,0.3571,133.3333,1913,916,0.4788,0.9477,1375,71.8766,1.9793,intermittent
last_value_naive,CA_1,FOODS_3_011,41.0,196.0,5.5357,5.7848,5.5357,378.0488,1913,3242,1.6947,1.9529,763,39.885,1.1523,mixed
last_value_naive,CA_1,FOODS_3_012,56.0,112.0,2.5,2.7516,2.0,125.0,1913,3037,1.5876,2.1575,916,47.8829,1.359,mixed
last_value_naive,CA_1,FOODS_3_013,94.0,196.0,3.8571,4.3753,3.6429,114.8936,1913,1935,1.0115,1.9483,1322,69.1061,1.9262,intermittent
last_value_naive,CA_1,FOODS_3_014,31.0,0.0,1.1071,1.8992,-1.1071,100.0,1913,3862,2.0188,3.3484,941,49.1898,1.6586,mixed
last_value_naive,CA_1,FOODS_3_015,41.0,140.0,3.5357,3.8868,3.5357,241.4634,1913,4096,2.1411,2.448,490,25.6142,1.1433,mixed
last_value_naive,CA_1,FOODS_3_016,94.0,196.0,3.8571,4.3095,3.6429,114.8936,1913,844,0.4412,1.1615,1578,82.4882,2.6327,highly_intermittent
last_value_naive,CA_1,FOODS_3_017,3.0,0.0,0.1071,0.3273,-0.1071,100.0,1913,298,0.1558,0.3998,1640,85.7292,2.5664,highly_intermittent
last_value_naive,CA_1,FOODS_3_018,52.0,28.0,1.2143,1.6036,-0.8571,65.3846,1913,727,0.38,0.9331,1542,80.6064,2.4553,highly_intermittent
last_value_naive,CA_1,FOODS_3_019,71.0,56.0,1.75,2.3679,-0.5357,69.0141,1913,2045,1.069,1.2056,799,41.7669,1.1278,mixed
last_value_naive,CA_1,FOODS_3_020,284.0,560.0,10.1429,11.4736,9.8571,100.0,1913,11670,6.1004,7.4925,616,32.2007,1.2282,mixed
last_value_naive,CA_1,FOODS_3_021,41.0,0.0,1.4643,2.4857,-1.4643,100.0,1913,4391,2.2953,3.1862,813,42.4987,1.3881,mixed
last_value_naive,CA_1,FOODS_3_022,10.0,0.0,0.3571,0.7559,-0.3571,100.0,1913,176,0.092,0.3313,1760,92.0021,3.6006,highly_intermittent
last_value_naive,CA_1,FOODS_3_023,50.0,56.0,1.0,1.2817,0.2143,56.0,1913,3848,2.0115,1.8189,498,26.0324,0.9043,mixed
last_value_naive,CA_1,FOODS_3_024,0.0,0.0,0.0,0.0,0.0,,1913,3699,1.9336,4.4057,1402,73.288,2.2785,intermittent
last_value_naive,CA_1,FOODS_3_025,41.0,28.0,1.1071,1.5,-0.4643,75.6098,1913,1987,1.0387,1.5319,1027,53.6853,1.4749,intermittent
last_value_naive,CA_1,FOODS_3_026,58.0,84.0,2.0,2.3146,0.9286,96.5517,1913,3762,1.9665,1.9919,533,27.862,1.0129,mixed
last_value_naive,CA_1,FOODS_3_027,15.0,0.0,0.5357,0.9449,-0.5357,100.0,1913,1420,0.7423,1.4651,1324,69.2107,1.9737,intermittent
last_value_naive,CA_1,FOODS_3_028,38.0,56.0,1.2143,1.5353,0.6429,89.4737,1913,3082,1.6111,1.8153,686,35.8599,1.1268,mixed
last_value_naive,CA_1,FOODS_3_029,26.0,112.0,3.0714,3.2733,3.0714,330.7692,1913,2351,1.229,1.7785,957,50.0261,1.4472,intermittent
last_value_naive,CA_1,FOODS_3_030,205.0,112.0,3.5357,4.5552,-3.3214,48.2927,1913,17214,8.9984,12.4465,583,30.4757,1.3832,mixed
last_value_naive,CA_1,FOODS_3_031,29.0,28.0,0.75,1.0522,-0.0357,72.4138,1913,1841,0.9624,1.1309,821,42.9169,1.1751,mixed
last_value_naive,CA_1,FOODS_3_032,27.0,84.0,2.25,2.4128,2.0357,233.3333,1913,2203,1.1516,1.6287,1006,52.5876,1.4143,intermittent
last_value_naive,CA_1,FOODS_3_033,10.0,28.0,0.7857,0.9258,0.6429,220.0,1913,327,0.1709,0.5588,1689,88.2906,3.2693,highly_intermittent
last_value_naive,CA_1,FOODS_3_034,69.0,112.0,2.25,2.5565,1.5357,91.3043,1913,2600,1.3591,2.0265,1089,56.9263,1.4911,intermittent
last_value_naive,CA_1,FOODS_3_035,28.0,28.0,0.7857,1.0351,0.0,78.5714,1913,3121,1.6315,1.7055,580,30.3189,1.0453,mixed
last_value_naive,CA_1,FOODS_3_036,19.0,0.0,0.6786,0.982,-0.6786,100.0,1913,727,0.38,0.8699,1486,77.679,2.2889,intermittent
last_value_naive,CA_1,FOODS_3_037,197.0,280.0,4.75,5.261,2.9643,67.5127,1913,7848,4.1025,4.2642,751,39.2577,1.0394,mixed
last_value_naive,CA_1,FOODS_3_038,25.0,56.0,1.1071,1.3496,1.1071,124.0,1913,294,0.1537,0.5149,1714,89.5975,3.35,highly_intermittent
last_value_naive,CA_1,FOODS_3_039,173.0,224.0,2.3214,2.9216,1.8214,37.5723,1913,7877,4.1176,4.3922,633,33.0894,1.0667,mixed
last_value_naive,CA_1,FOODS_3_040,25.0,28.0,0.75,0.9063,0.1071,84.0,1913,1260,0.6587,0.999,1170,61.1605,1.5167,intermittent
last_value_naive,CA_1,FOODS_3_041,139.0,168.0,2.8214,3.3541,1.0357,56.8345,1913,3632,1.8986,2.5148,819,42.8123,1.3246,mixed
last_value_naive,CA_1,FOODS_3_042,87.0,56.0,1.9643,2.6525,-1.1071,63.2184,1913,5100,2.666,2.8913,614,32.0962,1.0845,mixed
