model,store_id,item_id,validation_actual_units,validation_forecast_units,mae,rmse,bias,wape_percent,training_days,total_training_demand,mean_daily_demand,demand_standard_deviation,zero_sales_days,zero_sales_percentage,coefficient_of_variation,demand_pattern
weekly_seasonal_naive,CA_1,FOODS_3_020,284.0,224.0,6.2143,8.2115,-2.1429,61.2676,1913,11670,6.1004,7.4925,616,32.2007,1.2282,mixed
weekly_seasonal_naive,WI_1,FOODS_3_042,444.0,428.0,5.0714,6.0886,-0.5714,31.982,1913,25010,13.0737,5.4527,7,0.3659,0.4171,regular
weekly_seasonal_naive,WI_1,FOODS_3_007,143.0,16.0,4.9643,7.2531,-4.5357,97.2028,1913,9332,4.8782,6.8719,600,31.3643,1.4087,mixed
weekly_seasonal_naive,TX_1,FOODS_3_030,332.0,288.0,4.7143,5.7446,-1.5714,39.759,1913,18479,9.6597,12.0172,467,24.4119,1.2441,mixed
weekly_seasonal_naive,WI_1,FOODS_3_008,125.0,0.0,4.4643,7.6695,-4.4643,100.0,1913,2393,1.2509,3.457,1349,70.5175,2.7635,intermittent
weekly_seasonal_naive,WI_1,FOODS_3_048,98.0,144.0,4.0,5.2372,1.6429,114.2857,1913,2854,1.4919,2.2524,1022,53.4239,1.5098,intermittent
weekly_seasonal_naive,WI_1,FOODS_3_002,111.0,0.0,3.9643,5.474,-3.9643,100.0,1913,7155,3.7402,5.7245,1115,58.2854,1.5305,intermittent
weekly_seasonal_naive,WI_1,FOODS_3_039,202.0,176.0,3.7857,4.1748,-0.9286,52.4752,1913,5350,2.7967,3.9665,1038,54.2603,1.4183,intermittent
weekly_seasonal_naive,CA_1,FOODS_3_013,94.0,124.0,3.7857,4.698,1.0714,112.766,1913,1935,1.0115,1.9483,1322,69.1061,1.9262,intermittent
weekly_seasonal_naive,WI_1,FOODS_3_030,185.0,192.0,3.75,4.2384,0.25,56.7568,1913,7958,4.16,4.6851,517,27.0256,1.1262,mixed
weekly_seasonal_naive,WI_1,FOODS_3_020,131.0,72.0,3.6786,4.9389,-2.1071,78.626,1913,4467,2.3351,3.604,905,47.3079,1.5434,mixed
weekly_seasonal_naive,CA_1,FOODS_3_037,197.0,132.0,3.3214,4.6866,-2.3214,47.2081,1913,7848,4.1025,4.2642,751,39.2577,1.0394,mixed
weekly_seasonal_naive,CA_1,FOODS_3_011,41.0,76.0,2.8214,3.3434,1.25,192.6829,1913,3242,1.6947,1.9529,763,39.885,1.1523,mixed
weekly_seasonal_naive,CA_1,FOODS_3_042,87.0,80.0,2.6786,3.2459,-0.25,86.2069,1913,5100,2.666,2.8913,614,32.0962,1.0845,mixed
weekly_seasonal_naive,CA_1,FOODS_3_041,139.0,136.0,2.6071,3.2896,-0.1071,52.518,1913,3632,1.8986,2.5148,819,42.8123,1.3246,mixed
weekly_seasonal_naive,WI_1,FOODS_3_011,57.0,96.0,2.4643,2.8847,1.3929,121.0526,1913,3836,2.0052,2.0026,589,30.7893,0.9987,mixed
weekly_seasonal_naive,TX_1,FOODS_3_042,96.0,56.0,2.4286,2.8661,-1.4286,70.8333,1913,6598,3.449,2.344,115,6.0115,0.6796,regular
weekly_seasonal_naive,CA_1,FOODS_3_007,52.0,64.0,2.4286,3.873,0.4286,130.7692,1913,10801,5.6461,7.9243,635,33.1939,1.4035,mixed
weekly_seasonal_naive,CA_1,FOODS_3_030,205.0,192.0,2.3929,3.1792,-0.4643,32.6829,1913,17214,8.9984,12.4465,583,30.4757,1.3832,mixed
weekly_seasonal_naive,CA_1,FOODS_3_039,173.0,188.0,2.3929,2.9821,0.5357,38.7283,1913,7877,4.1176,4.3922,633,33.0894,1.0667,mixed
