forecast_model,inventory_policy,store_id,item_id,forecast_total_units,actual_demand_units,uncertainty_std_28,service_factor,safety_stock_units,order_quantity,served_units,shortage_units,leftover_units,fill_rate_percent,stockout_occurred,holding_cost_units,shortage_cost_units,total_cost_units,target_order_quantity,average_sell_price,unit_purchase_cost,priority_weight,scenario,allocation_method,allocated_order_quantity,operational_cost_units,purchase_spend,target_coverage_percent,budget_limit,capacity_limit,unconstrained_spend,unconstrained_units
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_001,15.0125,5.0,9.973,0.9674,9,25,5.0,0.0,5.0,100.0,0,20.0,0.0,20.0,25,2.5,1.5,1.060548941971695,tight,milp_optimised,10,20.0,15.0,40.0,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_002,33.0824,37.0,33.4861,0.9674,32,66,26.0,11.0,0.0,70.27027027027027,1,29.0,55.0,29.0,66,2.548,1.5288,1.1736321945991801,tight,milp_optimised,26,84.0,39.748799999999996,39.39393939393939,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_003,22.6687,15.0,16.7706,0.9674,16,39,15.0,0.0,0.0,100.0,0,24.0,0.0,24.0,39,3.6399999999999997,2.1839999999999997,1.0974067241819878,tight,milp_optimised,15,24.0,32.76,38.46153846153847,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_004,26.5785,24.0,7.0569,0.9674,7,34,13.0,11.0,0.0,54.166666666666664,1,10.0,55.0,10.0,34,5.98,3.588,1.070171232556619,tight,milp_optimised,13,65.0,46.644,38.23529411764706,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_005,14.7079,16.0,5.6627,0.9674,6,21,8.0,8.0,0.0,50.0,1,5.0,40.0,5.0,21,2.28,1.3679999999999999,1.044970613590258,tight,milp_optimised,8,45.0,10.943999999999999,38.095238095238095,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_006,13.4888,11.0,4.9844,0.9674,5,19,7.0,4.0,0.0,63.63636363636363,1,8.0,20.0,8.0,19,7.88,4.728,1.04051327349466,tight,milp_optimised,7,28.0,33.096,36.84210526315789,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_007,151.4111,52.0,68.4641,0.9674,66,218,52.0,0.0,166.0,100.0,0,166.0,0.0,166.0,218,0.25,0.15,1.498474704303477,tight,milp_optimised,218,166.0,32.699999999999996,100.0,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_008,37.6984,50.0,101.1057,0.9674,98,136,50.0,0.0,86.0,100.0,0,86.0,0.0,86.0,136,0.74,0.444,1.4177452405106417,tight,milp_optimised,136,86.0,60.384,100.0,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_009,14.8417,10.0,7.5833,0.9674,8,23,9.0,1.0,0.0,90.0,1,13.0,5.0,13.0,23,2.28,1.3679999999999999,1.0519087682688841,tight,milp_optimised,9,18.0,12.312,39.130434782608695,3392.37912,2749,5219.0448,3928
hist_gradient_boosting,newsvendor_adjusted_order,CA_1,FOODS_3_010,24.1869,18.0,5.801,0.9674,5,30,12.0,6.0,0.0,66.66666666666666,1,12.0,30.0,12.0,30,2.84,1.704,1.0616881259329012,tight,milp_optimised,12,42.0,20.448,40.0,3392.37912,2749,5219.0448,3928
