store_id,item_id,training_days,total_training_demand,mean_daily_demand,demand_standard_deviation,zero_sales_days,zero_sales_percentage,coefficient_of_variation,demand_pattern
CA_1,FOODS_3_001,1913,866,0.4527,0.8904,1364,71.3016,1.967,intermittent
CA_1,FOODS_3_002,1913,2088,1.0915,1.9083,1222,63.8787,1.7484,intermittent
CA_1,FOODS_3_003,1913,355,0.1856,0.6318,1716,89.702,3.4044,highly_intermittent
CA_1,FOODS_3_004,1913,984,0.5144,1.0736,1399,73.1312,2.0872,intermittent
CA_1,FOODS_3_005,1913,1439,0.7522,0.9975,1003,52.4307,1.3261,intermittent
CA_1,FOODS_3_006,1913,320,0.1673,0.4789,1664,86.9838,2.8628,highly_intermittent
CA_1,FOODS_3_007,1913,10801,5.6461,7.9243,635,33.1939,1.4035,mixed
CA_1,FOODS_3_008,1913,2324,1.2148,3.696,1498,78.3063,3.0424,intermittent
CA_1,FOODS_3_009,1913,361,0.1887,0.6011,1688,88.2384,3.1854,highly_intermittent
CA_1,FOODS_3_010,1913,916,0.4788,0.9477,1375,71.8766,1.9793,intermittent
CA_1,FOODS_3_011,1913,3242,1.6947,1.9529,763,39.885,1.1523,mixed
CA_1,FOODS_3_012,1913,3037,1.5876,2.1575,916,47.8829,1.359,mixed
CA_1,FOODS_3_013,1913,1935,1.0115,1.9483,1322,69.1061,1.9262,intermittent
CA_1,FOODS_3_014,1913,3862,2.0188,3.3484,941,49.1898,1.6586,mixed
CA_1,FOODS_3_015,1913,4096,2.1411,2.448,490,25.6142,1.1433,mixed
CA_1,FOODS_3_016,1913,844,0.4412,1.1615,1578,82.4882,2.6327,highly_intermittent
CA_1,FOODS_3_017,1913,298,0.1558,0.3998,1640,85.7292,2.5664,highly_intermittent
CA_1,FOODS_3_018,1913,727,0.38,0.9331,1542,80.6064,2.4553,highly_intermittent
CA_1,FOODS_3_019,1913,2045,1.069,1.2056,799,41.7669,1.1278,mixed
CA_1,FOODS_3_020,1913,11670,6.1004,7.4925,616,32.2007,1.2282,mixed
CA_1,FOODS_3_021,1913,4391,2.2953,3.1862,813,42.4987,1.3881,mixed
CA_1,FOODS_3_022,1913,176,0.092,0.3313,1760,92.0021,3.6006,highly_intermittent
CA_1,FOODS_3_023,1913,3848,2.0115,1.8189,498,26.0324,0.9043,mixed
CA_1,FOODS_3_024,1913,3699,1.9336,4.4057,1402,73.288,2.2785,intermittent
CA_1,FOODS_3_025,1913,1987,1.0387,1.5319,1027,53.6853,1.4749,intermittent
CA_1,FOODS_3_026,1913,3762,1.9665,1.9919,533,27.862,1.0129,mixed
CA_1,FOODS_3_027,1913,1420,0.7423,1.4651,1324,69.2107,1.9737,intermittent
CA_1,FOODS_3_028,1913,3082,1.6111,1.8153,686,35.8599,1.1268,mixed
CA_1,FOODS_3_029,1913,2351,1.229,1.7785,957,50.0261,1.4472,intermittent
CA_1,FOODS_3_030,1913,17214,8.9984,12.4465,583,30.4757,1.3832,mixed
CA_1,FOODS_3_031,1913,1841,0.9624,1.1309,821,42.9169,1.1751,mixed
CA_1,FOODS_3_032,1913,2203,1.1516,1.6287,1006,52.5876,1.4143,intermittent
CA_1,FOODS_3_033,1913,327,0.1709,0.5588,1689,88.2906,3.2693,highly_intermittent
CA_1,FOODS_3_034,1913,2600,1.3591,2.0265,1089,56.9263,1.4911,intermittent
CA_1,FOODS_3_035,1913,3121,1.6315,1.7055,580,30.3189,1.0453,mixed
CA_1,FOODS_3_036,1913,727,0.38,0.8699,1486,77.679,2.2889,intermittent
CA_1,FOODS_3_037,1913,7848,4.1025,4.2642,751,39.2577,1.0394,mixed
CA_1,FOODS_3_038,1913,294,0.1537,0.5149,1714,89.5975,3.35,highly_intermittent
CA_1,FOODS_3_039,1913,7877,4.1176,4.3922,633,33.0894,1.0667,mixed
CA_1,FOODS_3_040,1913,1260,0.6587,0.999,1170,61.1605,1.5167,intermittent
CA_1,FOODS_3_041,1913,3632,1.8986,2.5148,819,42.8123,1.3246,mixed
CA_1,FOODS_3_042,1913,5100,2.666,2.8913,614,32.0962,1.0845,mixed
CA_1,FOODS_3_043,1913,2289,1.1965,1.5568,938,49.0329,1.3011,mixed
CA_1,FOODS_3_044,1913,769,0.402,1.0222,1531,80.0314,2.5429,highly_intermittent
CA_1,FOODS_3_045,1913,1264,0.6607,0.9553,1117,58.39,1.4458,intermittent
CA_1,FOODS_3_046,1913,2322,1.2138,1.8724,1062,55.5149,1.5426,intermittent
CA_1,FOODS_3_047,1913,572,0.299,0.9721,1656,86.5656,3.2512,highly_intermittent
CA_1,FOODS_3_048,1913,2130,1.1134,1.7203,1070,55.9331,1.545,intermittent
CA_1,FOODS_3_049,1913,885,0.4626,0.8301,1326,69.3152,1.7944,intermittent
CA_1,FOODS_3_050,1913,1626,0.85,1.3386,1094,57.1877,1.5749,intermittent
TX_1,FOODS_3_001,1913,869,0.4543,1.2742,1461,76.3722,2.805,intermittent
TX_1,FOODS_3_002,1913,1490,0.7789,1.4182,1286,67.2243,1.8208,intermittent
TX_1,FOODS_3_003,1913,141,0.0737,0.3397,1808,94.5112,4.6085,highly_intermittent
TX_1,FOODS_3_004,1913,102,0.0533,0.2653,1827,95.5044,4.9754,highly_intermittent
TX_1,FOODS_3_005,1913,1778,0.9294,1.3667,1036,54.1558,1.4705,intermittent
TX_1,FOODS_3_006,1913,509,0.2661,0.6319,1568,81.9655,2.3751,highly_intermittent
TX_1,FOODS_3_007,1913,17078,8.9273,12.4166,511,26.712,1.3909,mixed
TX_1,FOODS_3_008,1913,2973,1.5541,4.7287,1463,76.4767,3.0427,intermittent
TX_1,FOODS_3_009,1913,299,0.1563,0.6684,1755,91.7407,4.2766,highly_intermittent
TX_1,FOODS_3_010,1913,384,0.2007,0.4899,1599,83.586,2.4407,highly_intermittent
TX_1,FOODS_3_011,1913,859,0.449,0.782,1311,68.5311,1.7416,intermittent
TX_1,FOODS_3_012,1913,1392,0.7277,1.213,1185,61.9446,1.667,intermittent
TX_1,FOODS_3_013,1913,602,0.3147,0.7476,1501,78.4631,2.3756,intermittent
TX_1,FOODS_3_014,1913,1340,0.7005,1.219,1203,62.8855,1.7403,intermittent
TX_1,FOODS_3_015,1913,2039,1.0659,2.062,970,50.7057,1.9346,intermittent
TX_1,FOODS_3_016,1913,143,0.0748,0.3471,1805,94.3544,4.6429,highly_intermittent
TX_1,FOODS_3_017,1913,244,0.1275,0.3805,1697,88.7088,2.9835,highly_intermittent
TX_1,FOODS_3_018,1913,250,0.1307,0.425,1718,89.8066,3.252,highly_intermittent
TX_1,FOODS_3_019,1913,683,0.357,0.7959,1430,74.7517,2.2292,intermittent
TX_1,FOODS_3_020,1913,4069,2.127,3.2619,922,48.1965,1.5336,mixed
TX_1,FOODS_3_021,1913,4556,2.3816,3.4692,828,43.2828,1.4567,mixed
TX_1,FOODS_3_022,1913,297,0.1553,0.5036,1697,88.7088,3.2437,highly_intermittent
TX_1,FOODS_3_023,1913,2187,1.1432,1.206,701,36.644,1.0549,mixed
TX_1,FOODS_3_024,1913,1201,0.6278,2.0215,1588,83.011,3.2199,highly_intermittent
TX_1,FOODS_3_025,1913,544,0.2844,0.621,1513,79.0904,2.1837,intermittent
TX_1,FOODS_3_026,1913,1759,0.9195,1.1896,931,48.667,1.2937,mixed
TX_1,FOODS_3_027,1913,767,0.4009,0.8915,1467,76.6858,2.2234,intermittent
TX_1,FOODS_3_028,1913,1179,0.6163,0.9822,1176,61.4741,1.5936,intermittent
TX_1,FOODS_3_029,1913,2094,1.0946,2.0002,1090,56.9786,1.8273,intermittent
