constraint_scenario,store_id,item_id,demand_scenario,z_score,probability,forecast_mean_units,uncertainty_std_28,simulated_demand_units
balanced,CA_1,FOODS_3_001,very_low,-1.2816,0.1,15.0125,9.973,2.231103199999998
balanced,CA_1,FOODS_3_001,low,-0.5244,0.2,15.0125,9.973,9.7826588
balanced,CA_1,FOODS_3_001,central,0.0,0.4,15.0125,9.973,15.0125
balanced,CA_1,FOODS_3_001,high,0.5244,0.2,15.0125,9.973,20.2423412
balanced,CA_1,FOODS_3_001,very_high,1.2816,0.1,15.0125,9.973,27.7938968
balanced,CA_1,FOODS_3_002,very_low,-1.2816,0.1,33.0824,33.4861,0.0
balanced,CA_1,FOODS_3_002,low,-0.5244,0.2,33.0824,33.4861,15.52228916
balanced,CA_1,FOODS_3_002,central,0.0,0.4,33.0824,33.4861,33.0824
balanced,CA_1,FOODS_3_002,high,0.5244,0.2,33.0824,33.4861,50.64251084
balanced,CA_1,FOODS_3_002,very_high,1.2816,0.1,33.0824,33.4861,75.99818576000001
balanced,CA_1,FOODS_3_003,very_low,-1.2816,0.1,22.6687,16.7706,1.1754990399999983
balanced,CA_1,FOODS_3_003,low,-0.5244,0.2,22.6687,16.7706,13.87419736
balanced,CA_1,FOODS_3_003,central,0.0,0.4,22.6687,16.7706,22.6687
balanced,CA_1,FOODS_3_003,high,0.5244,0.2,22.6687,16.7706,31.463202640000002
balanced,CA_1,FOODS_3_003,very_high,1.2816,0.1,22.6687,16.7706,44.161900960000004
balanced,CA_1,FOODS_3_004,very_low,-1.2816,0.1,26.5785,7.0569,17.534376959999996
balanced,CA_1,FOODS_3_004,low,-0.5244,0.2,26.5785,7.0569,22.87786164
balanced,CA_1,FOODS_3_004,central,0.0,0.4,26.5785,7.0569,26.5785
balanced,CA_1,FOODS_3_004,high,0.5244,0.2,26.5785,7.0569,30.279138359999997
balanced,CA_1,FOODS_3_004,very_high,1.2816,0.1,26.5785,7.0569,35.62262304
balanced,CA_1,FOODS_3_005,very_low,-1.2816,0.1,14.7079,5.6627,7.45058368
balanced,CA_1,FOODS_3_005,low,-0.5244,0.2,14.7079,5.6627,11.73838012
balanced,CA_1,FOODS_3_005,central,0.0,0.4,14.7079,5.6627,14.7079
balanced,CA_1,FOODS_3_005,high,0.5244,0.2,14.7079,5.6627,17.677419880000002
balanced,CA_1,FOODS_3_005,very_high,1.2816,0.1,14.7079,5.6627,21.96521632
balanced,CA_1,FOODS_3_006,very_low,-1.2816,0.1,13.4888,4.9844,7.100792959999999
balanced,CA_1,FOODS_3_006,low,-0.5244,0.2,13.4888,4.9844,10.87498064
balanced,CA_1,FOODS_3_006,central,0.0,0.4,13.4888,4.9844,13.4888
balanced,CA_1,FOODS_3_006,high,0.5244,0.2,13.4888,4.9844,16.10261936
balanced,CA_1,FOODS_3_006,very_high,1.2816,0.1,13.4888,4.9844,19.87680704
balanced,CA_1,FOODS_3_007,very_low,-1.2816,0.1,151.4111,68.4641,63.66750944
balanced,CA_1,FOODS_3_007,low,-0.5244,0.2,151.4111,68.4641,115.50852596000001
balanced,CA_1,FOODS_3_007,central,0.0,0.4,151.4111,68.4641,151.4111
balanced,CA_1,FOODS_3_007,high,0.5244,0.2,151.4111,68.4641,187.31367404
balanced,CA_1,FOODS_3_007,very_high,1.2816,0.1,151.4111,68.4641,239.15469056
balanced,CA_1,FOODS_3_008,very_low,-1.2816,0.1,37.6984,101.1057,0.0
balanced,CA_1,FOODS_3_008,low,-0.5244,0.2,37.6984,101.1057,0.0
balanced,CA_1,FOODS_3_008,central,0.0,0.4,37.6984,101.1057,37.6984
balanced,CA_1,FOODS_3_008,high,0.5244,0.2,37.6984,101.1057,90.71822907999999
balanced,CA_1,FOODS_3_008,very_high,1.2816,0.1,37.6984,101.1057,167.27546512
balanced,CA_1,FOODS_3_009,very_low,-1.2816,0.1,14.8417,7.5833,5.122942719999999
balanced,CA_1,FOODS_3_009,low,-0.5244,0.2,14.8417,7.5833,10.865017479999999
balanced,CA_1,FOODS_3_009,central,0.0,0.4,14.8417,7.5833,14.8417
balanced,CA_1,FOODS_3_009,high,0.5244,0.2,14.8417,7.5833,18.81838252
balanced,CA_1,FOODS_3_009,very_high,1.2816,0.1,14.8417,7.5833,24.56045728
balanced,CA_1,FOODS_3_010,very_low,-1.2816,0.1,24.1869,5.801,16.7523384
balanced,CA_1,FOODS_3_010,low,-0.5244,0.2,24.1869,5.801,21.1448556
balanced,CA_1,FOODS_3_010,central,0.0,0.4,24.1869,5.801,24.1869
balanced,CA_1,FOODS_3_010,high,0.5244,0.2,24.1869,5.801,27.228944400000003
balanced,CA_1,FOODS_3_010,very_high,1.2816,0.1,24.1869,5.801,31.621461600000004
balanced,CA_1,FOODS_3_011,very_low,-1.2816,0.1,77.5664,24.3011,46.422110239999995
balanced,CA_1,FOODS_3_011,low,-0.5244,0.2,77.5664,24.3011,64.82290316
balanced,CA_1,FOODS_3_011,central,0.0,0.4,77.5664,24.3011,77.5664
balanced,CA_1,FOODS_3_011,high,0.5244,0.2,77.5664,24.3011,90.30989684000001
balanced,CA_1,FOODS_3_011,very_high,1.2816,0.1,77.5664,24.3011,108.71068976000001
balanced,CA_1,FOODS_3_012,very_low,-1.2816,0.1,60.672,18.0803,37.50028751999999
balanced,CA_1,FOODS_3_012,low,-0.5244,0.2,60.672,18.0803,51.190690679999996
balanced,CA_1,FOODS_3_012,central,0.0,0.4,60.672,18.0803,60.672
balanced,CA_1,FOODS_3_012,high,0.5244,0.2,60.672,18.0803,70.15330931999999
balanced,CA_1,FOODS_3_012,very_high,1.2816,0.1,60.672,18.0803,83.84371248
balanced,CA_1,FOODS_3_013,very_low,-1.2816,0.1,78.9084,30.4405,39.8958552
balanced,CA_1,FOODS_3_013,low,-0.5244,0.2,78.9084,30.4405,62.9454018
balanced,CA_1,FOODS_3_013,central,0.0,0.4,78.9084,30.4405,78.9084
balanced,CA_1,FOODS_3_013,high,0.5244,0.2,78.9084,30.4405,94.8713982
balanced,CA_1,FOODS_3_013,very_high,1.2816,0.1,78.9084,30.4405,117.9209448
balanced,CA_1,FOODS_3_014,very_low,-1.2816,0.1,24.1603,13.0318,7.458745119999996
balanced,CA_1,FOODS_3_014,low,-0.5244,0.2,24.1603,13.0318,17.32642408
balanced,CA_1,FOODS_3_014,central,0.0,0.4,24.1603,13.0318,24.1603
balanced,CA_1,FOODS_3_014,high,0.5244,0.2,24.1603,13.0318,30.99417592
balanced,CA_1,FOODS_3_014,very_high,1.2816,0.1,24.1603,13.0318,40.86185488
balanced,CA_1,FOODS_3_015,very_low,-1.2816,0.1,49.3666,41.5996,0.0
balanced,CA_1,FOODS_3_015,low,-0.5244,0.2,49.3666,41.5996,27.55176976
balanced,CA_1,FOODS_3_015,central,0.0,0.4,49.3666,41.5996,49.3666
balanced,CA_1,FOODS_3_015,high,0.5244,0.2,49.3666,41.5996,71.18143024
balanced,CA_1,FOODS_3_015,very_high,1.2816,0.1,49.3666,41.5996,102.68064736
balanced,CA_1,FOODS_3_016,very_low,-1.2816,0.1,73.5464,25.3541,41.05258544000001
balanced,CA_1,FOODS_3_016,low,-0.5244,0.2,73.5464,25.3541,60.25070996000001
balanced,CA_1,FOODS_3_016,central,0.0,0.4,73.5464,25.3541,73.5464
balanced,CA_1,FOODS_3_016,high,0.5244,0.2,73.5464,25.3541,86.84209004
balanced,CA_1,FOODS_3_016,very_high,1.2816,0.1,73.5464,25.3541,106.04021456000001
